ip,hostname
10.0.5.19,19.5.0.10.in-addr.arpa	name = mail.shire.org.
10.0.5.20,20.5.0.10.in-addr.arpa	name = www.shire.org.
10.0.5.21,21.5.0.10.in-addr.arpa	name = bios.shire.org.
10.0.5.22,22.5.0.10.in-addr.arpa	name = ns.shire.org.
10.0.5.23,23.5.0.10.in-addr.arpa	name = cupcake.shire.org.
10.0.5.24,24.5.0.10.in-addr.arpa	name = bifur.shire.org.
10.0.5.25,25.5.0.10.in-addr.arpa	name = pippin.shire.org.
10.0.5.26,26.5.0.10.in-addr.arpa	name = prancingpony.shire.org.
10.0.5.27,27.5.0.10.in-addr.arpa	name = arwen.shire.org.
10.0.5.28,28.5.0.10.in-addr.arpa	name = nancurunir.shire.org.
10.0.5.31,31.5.0.10.in-addr.arpa	name = gloin.shire.org.
10.0.5.32,32.5.0.10.in-addr.arpa	name = bree.shrire.org.
10.0.5.250,250.5.0.10.in-addr.arpa	name = fw-rivendell.shire.org.
